data,horario,tbs,umidade,globo metalico,globo plastico,itgu,itu,orvalho
2021-02-24,18:00:00,29.18,57.74,28.87,30.0,77.56971605171847,78.69971605171847,78.36,19.999211254773527
2021-02-24,18:10:00,29.13,57.26,28.5,29.5,77.13441025744271,78.13441025744271,78.22,19.81780627067419
2021-02-24,18:20:00,28.8,58.69,28.19,29.0,76.85671390821466,77.66671390821466,77.98,19.907538633929605
2021-02-24,18:30:00,28.43,60.5,27.81,28.5,76.52844072004564,77.21844072004563,77.7,20.05122422234899
2021-02-24,18:40:00,28.19,61.57,27.56,28.0,76.29920672070132,76.73920672070132,77.52,20.108907557503667
2021-02-24,18:50:00,27.89,62.82,27.19,28.0,75.94440450640494,76.75440450640494,77.26,20.151123628902614
2021-02-24,19:00:00,27.55,64.68,26.87,27.5,75.67864715714964,76.30864715714964,77.01,20.30179765874901
2021-02-24,19:10:00,27.32,66.34,26.62,27.5,75.49790012157146,76.37790012157146,76.89,20.494167004365178
2021-02-24,19:20:00,27.11,67.71,26.37,27.0,75.29534485065484,75.92534485065485,76.75,20.625957918485675
2021-02-24,19:30:00,27.0,68.3,26.25,27.0,75.18829882548299,75.93829882548299,76.66,20.66194118189719
2021-02-24,19:40:00,26.8,69.77,26.06,26.5,75.05406846024788,75.49406846024789,76.54,20.816856834021888
2021-02-24,19:50:00,26.63,71.04,25.94,26.5,74.98108534329616,75.54108534329616,76.44,20.947459286933775
2021-02-24,20:00:00,26.5,72.16,25.75,26.5,74.83785529563498,75.58785529563498,76.38,21.077375821208285
2021-02-24,20:10:00,26.26,73.43,25.62,26.0,74.72710952811528,75.10710952811527,76.16,21.130859800320202
2021-02-24,20:20:00,26.26,73.68,25.44,26.0,74.56704767107885,75.12704767107886,76.19,21.1862435307746
2021-02-24,20:30:00,26.15,73.96,25.37,26.0,74.48116808555208,75.1111680855521,76.04,21.14213357097802
2021-02-24,20:40:00,26.04,74.02,25.31,26.0,74.38778033429571,75.07778033429572,75.89,21.04938981748812
2021-02-24,20:50:00,25.95,74.41,25.19,25.5,74.2673620600435,74.57736206004348,75.8,21.04822794456524
2021-02-24,21:00:00,25.88,74.62,25.12,25.5,74.18958489933898,74.56958489933898,75.71,21.026624720386053
2021-02-24,21:10:00,25.74,75.37,25.06,25.5,74.13957119597113,74.57957119597113,75.57,21.054364433253134
2021-02-24,21:20:00,25.79,75.06,24.94,25.5,74.01278773262007,74.57278773262007,75.62,21.03552147950019
2021-02-24,21:30:00,25.72,75.94,24.94,25.5,74.05679654515669,74.61679654515669,75.6,21.157768180990775
2021-02-24,21:40:00,25.61,76.69,24.87,25.5,74.00616909375694,74.63616909375693,75.52,21.21158081599148
2021-02-24,21:50:00,25.66,76.66,24.81,25.0,73.96128753783294,74.15128753783294,75.6,21.253576493980407
2021-02-24,22:00:00,25.56,76.98,24.69,25.0,73.8309004863258,74.14090048632579,75.47,21.224723573127218
2021-02-24,22:10:00,25.58,77.53,24.63,25.0,73.81967860476715,74.18967860476715,75.56,21.360218346575405
2021-02-24,22:20:00,25.44,78.79,24.63,25.0,73.86556038966242,74.23556038966242,75.48,21.487667749062282
2021-02-24,22:30:00,25.37,79.46,24.56,25.0,73.82089403903842,74.26089403903842,75.45,21.558038997328943
2021-02-24,22:40:00,25.33,79.74,24.5,25.0,73.76759586569233,74.26759586569233,75.41,21.576655182478692
2021-02-24,22:50:00,25.29,80.15,24.44,25.0,73.72377679284308,74.28377679284307,75.39,21.621602202341887
2021-02-24,23:00:00,25.15,81.05,24.37,25.0,73.67045666713608,74.30045666713607,75.26,21.667935186489117
2021-02-24,23:10:00,25.03,81.91,24.31,25.0,73.63051225200637,74.32051225200638,75.16,21.72364514446215
2021-02-24,23:20:00,25.02,81.62,24.25,24.5,73.54611157966971,73.79611157966971,75.11,21.655865499082545
2021-02-24,23:30:00,25.02,81.35,24.12,24.5,73.39660471313994,73.77660471313993,75.08,21.601679758722057
2021-02-24,23:40:00,24.83,82.22,24.06,24.5,73.3325035721023,73.7725035721023,74.86,21.590287700284176
2021-02-24,23:50:00,24.75,82.29,24.0,24.5,73.24940173255595,73.74940173255595,74.74,21.52611592376652
2021-02-25,00:00:01,24.74,82.41,23.87,24.5,73.1244600204028,73.75446002040279,74.7,21.540166723341084
2021-02-25,00:10:00,24.8,81.96,23.81,24.5,73.05333045951953,73.74333045951954,74.8,21.509251276443145
2021-02-25,00:20:00,24.73,82.57,23.87,24.5,73.13235720537214,73.76235720537214,74.74,21.562103348255953
2021-02-25,00:30:00,24.61,83.49,23.81,24.5,73.09535874294895,73.78535874294894,74.64,21.6259965081915
2021-02-25,00:40:00,24.64,83.41,23.75,24.0,73.04027474736186,73.29027474736186,74.68,21.639652076005177
2021-02-25,00:50:00,24.55,83.94,23.69,24.0,72.9858789044084,73.2958789044084,74.58,21.655219178912223
2021-02-25,01:00:00,24.62,83.8,23.69,24.0,73.00070348574945,73.31070348574946,74.69,21.69639857152626
2021-02-25,01:10:00,24.64,82.88,23.69,24.0,72.94275957824155,73.25275957824155,74.63,21.535443272893186
2021-02-25,01:20:00,24.64,83.24,23.62,24.0,72.89826439542968,73.27826439542967,74.67,21.606289987304645
